date,value
2021-03-26,28336.43
2021-03-29,28338.3
2021-03-30,28577.5
2021-03-31,28378.35
2021-04-01,28938.74
2021-04-07,28674.8
2021-04-08,29008.07
2021-04-09,28698.8
2021-04-12,28453.28
2021-04-13,28497.25
2021-04-14,28900.83
2021-04-15,28793.14
2021-04-16,28969.71
2021-04-19,29106.15
2021-04-20,29135.73
2021-04-21,28621.92
2021-04-22,28755.34
2021-04-23,29078.75
2021-04-26,28952.83
2021-04-27,28941.54
2021-04-28,29071.34
2021-04-29,29303.26
2021-04-30,28724.88
2021-05-03,28357.54
2021-05-04,28557.14
2021-05-05,28417.98
2021-05-06,28637.46
2021-05-07,28610.65
2021-05-10,28595.66
2021-05-11,28013.81
2021-05-12,28231.04
2021-05-13,27718.67
2021-05-14,28027.57
2021-05-17,28194.09
2021-05-18,28593.81
2021-05-20,28450.29
2021-05-21,28458.44
2021-05-24,28412.26
2021-05-25,28910.86
2021-05-26,29166.01
2021-05-27,29113.2
2021-05-28,29124.41
2021-05-31,29151.8
2021-06-01,29468.0
2021-06-02,29297.62
2021-06-03,28966.03
2021-06-04,28918.1
2021-06-07,28787.28
2021-06-08,28781.38
2021-06-09,28742.63
2021-06-10,28738.88
2021-06-11,28842.13
2021-06-15,28638.53
2021-06-16,28436.84
2021-06-17,28558.59
2021-06-18,28801.27
2021-06-21,28489.0
2021-06-22,28309.76
2021-06-23,28817.07
2021-06-24,28882.46
2021-06-25,29288.22
2021-06-28,29268.3
2021-06-29,28994.1
2021-06-30,28827.95
2021-07-02,28310.42
2021-07-05,28143.5
2021-07-06,28072.86
2021-07-07,27960.62
2021-07-08,27153.13
2021-07-09,27344.54
2021-07-12,27515.24
2021-07-13,27963.41
2021-07-14,27787.46
2021-07-15,27996.27
2021-07-16,28004.68
2021-07-19,27489.78
2021-07-20,27259.25
2021-07-21,27224.58
2021-07-22,27723.84
2021-07-23,27321.98
2021-07-26,26192.32
2021-07-27,25086.43
2021-07-28,25473.88
2021-07-29,26315.32
2021-07-30,25961.03
2021-08-02,26235.8
2021-08-03,26194.82
2021-08-04,26426.55
2021-08-05,26204.69
2021-08-06,26179.4
2021-08-09,26283.4
2021-08-10,26605.62
2021-08-11,26660.16
2021-08-12,26517.82
2021-08-13,26391.62
2021-08-16,26181.46
2021-08-17,25745.87
2021-08-18,25867.01
2021-08-19,25316.33
2021-08-20,24849.72
2021-08-23,25109.59
2021-08-24,25727.92
2021-08-25,25693.95
2021-08-26,25415.69
2021-08-27,25407.89
2021-08-30,25539.54
2021-08-31,25878.99
2021-09-01,26028.29
2021-09-02,26090.43
2021-09-03,25901.99
2021-09-06,26163.63
2021-09-07,26353.63
2021-09-08,26320.93
2021-09-09,25716.0
2021-09-10,26205.91
2021-09-13,25813.81
2021-09-14,25502.23
2021-09-15,25033.21
2021-09-16,24667.85
2021-09-17,24920.76
2021-09-20,24099.14
2021-09-21,24221.54
2021-09-23,24510.98
2021-09-24,24192.16
2021-09-27,24208.78
2021-09-28,24500.39
2021-09-29,24663.5
2021-09-30,24575.64
2021-10-04,24036.37
2021-10-05,24104.15
2021-10-06,23966.49
2021-10-07,24701.73
2021-10-08,24837.85
2021-10-11,25325.09
2021-10-12,24962.59
2021-10-15,25330.96
2021-10-18,25409.75
2021-10-19,25787.21
2021-10-20,26136.02
2021-10-21,26017.53
2021-10-22,26126.93
2021-10-25,26132.03
2021-10-26,26038.27
2021-10-27,25628.74
2021-10-28,25555.73
2021-10-29,25377.24
2021-11-01,25154.32
2021-11-02,25099.67
2021-11-03,25024.75
2021-11-04,25225.19
2021-11-05,24870.51
2021-11-08,24763.77
2021-11-09,24813.13
2021-11-10,24996.14
2021-11-11,25247.99
2021-11-12,25327.97
2021-11-15,25390.91
2021-11-16,25713.78
2021-11-17,25650.08
2021-11-18,25319.72
2021-11-19,25049.97
2021-11-22,24951.34
2021-11-23,24651.58
2021-11-24,24685.5
2021-11-25,24740.16
2021-11-26,24080.52
2021-11-29,23852.24
2021-11-30,23475.26
2021-12-01,23658.92
2021-12-02,23788.93
2021-12-03,23766.69
2021-12-06,23349.38
2021-12-07,23983.66
2021-12-08,23996.87
2021-12-09,24254.86
2021-12-10,23995.72
2021-12-13,23954.58
2021-12-14,23635.95
2021-12-15,23420.76
2021-12-16,23475.5
2021-12-17,23192.63
2021-12-20,22744.86
2021-12-21,22971.33
2021-12-22,23102.33
2021-12-23,23193.64
2021-12-24,23223.76
2021-12-28,23280.56
2021-12-29,23086.54
2021-12-30,23112.01
2021-12-31,23397.67
2022-01-03,23274.75
2022-01-04,23289.84
2022-01-05,22907.25
2022-01-06,23072.86
2022-01-07,23493.38
2022-01-10,23746.54
2022-01-11,23739.06
2022-01-12,24402.17
2022-01-13,24429.77
2022-01-14,24383.32
2022-01-17,24218.03
2022-01-18,24112.78
2022-01-19,24127.85
2022-01-20,24952.35
2022-01-21,24965.55
2022-01-24,24656.46
2022-01-25,24243.61
2022-01-26,24289.9
2022-01-27,23807.0
2022-01-28,23550.08
2022-01-31,23802.26
2022-02-04,24573.29
2022-02-07,24579.55
2022-02-08,24329.49
2022-02-09,24829.99
2022-02-10,24924.35
2022-02-11,24906.66
2022-02-14,24556.57
2022-02-15,24355.71
2022-02-16,24718.9
2022-02-17,24792.77
2022-02-18,24327.71
