date,value
2021-03-26,8129.63
2021-03-29,7981.07
2021-03-30,8180.32
2021-03-31,8183.8
2021-04-01,8569.64
2021-04-07,8451.85
2021-04-08,8458.11
2021-04-09,8305.93
2021-04-12,8169.5
2021-04-13,8038.81
2021-04-14,8225.67
2021-04-15,8142.92
2021-04-16,8232.13
2021-04-19,8346.39
2021-04-20,8311.69
2021-04-21,8185.0
2021-04-22,8279.74
2021-04-23,8467.75
2021-04-26,8485.24
2021-04-27,8516.45
2021-04-28,8532.76
2021-04-29,8500.13
2021-04-30,8313.18
2021-05-03,8227.89
2021-05-04,8284.12
2021-05-05,8107.9
2021-05-06,8136.87
2021-05-07,7954.82
2021-05-10,7886.02
2021-05-11,7649.68
2021-05-12,7861.18
2021-05-13,7599.62
2021-05-14,7565.31
2021-05-17,7699.96
2021-05-18,7817.69
2021-05-20,7915.72
2021-05-21,8025.31
2021-05-24,7876.61
2021-05-25,8004.37
2021-05-26,8072.46
2021-05-27,8123.88
2021-05-28,7957.63
2021-05-31,8104.35
2021-06-01,8305.74
2021-06-02,8235.1
2021-06-03,8164.34
2021-06-04,8095.64
2021-06-07,8042.73
2021-06-08,7981.01
2021-06-09,7972.09
2021-06-10,7969.17
2021-06-11,7991.12
2021-06-15,7961.02
2021-06-16,7830.67
2021-06-17,7901.52
2021-06-18,8041.45
2021-06-21,7955.95
2021-06-22,7812.23
2021-06-23,8020.23
2021-06-24,8039.76
2021-06-25,8235.63
2021-06-28,8276.63
2021-06-29,8201.05
2021-06-30,8155.37
2021-07-02,7892.4
2021-07-05,7712.19
2021-07-06,7646.94
2021-07-07,7603.77
2021-07-08,7321.98
2021-07-09,7429.49
2021-07-12,7514.15
2021-07-13,7659.59
2021-07-14,7667.56
2021-07-15,7661.25
2021-07-16,7614.35
2021-07-19,7431.99
2021-07-20,7337.55
2021-07-21,7327.7
2021-07-22,7490.13
2021-07-23,7268.14
2021-07-26,6790.96
2021-07-27,6249.65
2021-07-28,6443.31
2021-07-29,6958.77
2021-07-30,6780.97
2021-08-02,6796.25
2021-08-03,6696.66
2021-08-04,6859.4
2021-08-05,6715.33
2021-08-06,6697.1
2021-08-09,6664.91
2021-08-10,6830.15
2021-08-11,6820.68
2021-08-12,6719.19
2021-08-13,6589.54
2021-08-16,6420.14
2021-08-17,6218.89
2021-08-18,6226.69
2021-08-19,6044.03
2021-08-20,5895.06
2021-08-23,6021.27
2021-08-24,6446.18
2021-08-25,6458.97
2021-08-26,6337.03
2021-08-27,6322.28
2021-08-30,6391.17
2021-08-31,6607.78
2021-09-01,6693.66
2021-09-02,6801.47
2021-09-03,6728.84
2021-09-06,6778.49
2021-09-07,6887.94
2021-09-08,6871.28
2021-09-09,6560.39
2021-09-10,6748.36
2021-09-13,6595.03
2021-09-14,6502.35
2021-09-15,6298.09
2021-09-16,6232.93
2021-09-17,6452.19
2021-09-20,6271.37
2021-09-21,6242.61
2021-09-23,6300.49
2021-09-24,6159.96
2021-09-27,6103.89
2021-09-28,6231.55
2021-09-29,6179.43
2021-09-30,6101.52
2021-10-04,5973.8
2021-10-05,5955.22
2021-10-06,5866.15
2021-10-07,6172.04
2021-10-08,6206.77
2021-10-11,6403.69
2021-10-12,6199.75
2021-10-15,6318.91
2021-10-18,6324.27
2021-10-19,6518.59
2021-10-20,6691.33
2021-10-21,6636.18
2021-10-22,6754.34
2021-10-25,6744.74
2021-10-26,6654.19
2021-10-27,6441.62
2021-10-28,6445.17
2021-10-29,6375.85
2021-11-01,6279.39
2021-11-02,6314.31
2021-11-03,6273.44
2021-11-04,6375.32
2021-11-05,6276.52
2021-11-08,6193.98
2021-11-09,6221.85
2021-11-10,6349.94
2021-11-11,6464.53
2021-11-12,6565.53
2021-11-15,6601.15
2021-11-16,6712.31
2021-11-17,6672.28
2021-11-18,6474.55
2021-11-19,6457.97
2021-11-22,6410.89
2021-11-23,6323.48
2021-11-24,6292.16
2021-11-25,6358.54
2021-11-26,6151.99
2021-11-29,6099.35
2021-11-30,6028.63
2021-12-01,6058.8
2021-12-02,6017.56
2021-12-03,5925.52
2021-12-06,5727.49
2021-12-07,5968.5
2021-12-08,5970.23
2021-12-09,6103.16
2021-12-10,6035.23
2021-12-13,6022.23
2021-12-14,5884.82
2021-12-15,5795.44
2021-12-16,5822.14
2021-12-17,5680.47
2021-12-20,5498.49
2021-12-21,5612.69
2021-12-22,5685.29
2021-12-23,5638.31
2021-12-24,5619.39
2021-12-28,5569.42
2021-12-29,5471.87
2021-12-30,5475.7
2021-12-31,5670.96
2022-01-03,5640.47
2022-01-04,5581.9
2022-01-05,5323.47
2022-01-06,5396.65
2022-01-07,5503.91
2022-01-10,5625.5
2022-01-11,5619.67
2022-01-12,5899.82
2022-01-13,5796.78
2022-01-14,5769.05
2022-01-17,5724.5
2022-01-18,5698.54
2022-01-19,5642.91
2022-01-20,5896.71
2022-01-21,5870.57
2022-01-24,5703.63
2022-01-25,5552.68
2022-01-26,5597.03
2022-01-27,5383.63
