date,value
2021-03-26,12979.1201
2021-03-29,12965.7402
2021-03-30,12896.5303
2021-03-31,13091.4404
2021-04-01,13329.5195
2021-04-05,13598.1602
2021-04-06,13578.46
2021-04-07,13616.7002
2021-04-08,13758.5098
2021-04-09,13845.0596
2021-04-12,13819.3496
2021-04-13,13986.4902
2021-04-14,13803.9102
2021-04-15,14026.1904
2021-04-16,14041.9102
2021-04-19,13907.6699
2021-04-20,13809.2998
2021-04-21,13935.1504
2021-04-22,13762.3604
2021-04-23,13941.4404
2021-04-26,14026.1602
2021-04-27,13960.2803
2021-04-28,13901.6201
2021-04-29,13970.2002
2021-04-30,13860.7598
2021-05-03,13799.7197
2021-05-04,13544.6699
2021-05-05,13503.3701
2021-05-06,13613.7305
2021-05-07,13719.6299
2021-05-10,13359.0801
2021-05-11,13351.2695
2021-05-12,13001.6299
2021-05-13,13109.1504
2021-05-14,13393.1201
2021-05-17,13312.9102
2021-05-18,13217.6797
2021-05-19,13237.9102
2021-05-20,13494.0898
2021-05-21,13411.7402
2021-05-24,13641.75
2021-05-25,13657.7305
2021-05-26,13702.7402
2021-05-27,13657.8496
2021-05-28,13686.5098
2021-06-01,13654.5898
2021-06-02,13675.79
2021-06-03,13529.6797
2021-06-04,13770.7695
2021-06-07,13802.8896
2021-06-08,13810.8604
2021-06-09,13814.9404
2021-06-10,13960.3496
2021-06-11,13998.2998
2021-06-14,14128.2002
2021-06-15,14030.4102
2021-06-16,13983.0098
2021-06-17,14163.8096
2021-06-18,14049.5801
2021-06-21,14137.2305
2021-06-22,14270.4199
2021-06-23,14274.2402
2021-06-24,14365.96
2021-06-25,14345.1797
2021-06-28,14524.9805
2021-06-29,14572.75
2021-06-30,14554.7998
2021-07-01,14560.0498
2021-07-02,14727.6299
2021-07-06,14786.3604
2021-07-07,14810.54
2021-07-08,14722.1396
2021-07-09,14826.0898
2021-07-12,14877.8896
2021-07-13,14874.54
2021-07-14,14900.4404
2021-07-15,14794.6904
2021-07-16,14681.3799
2021-07-19,14549.0898
2021-07-20,14728.21
2021-07-21,14842.6299
2021-07-22,14940.1699
2021-07-23,15111.79
2021-07-26,15125.9502
2021-07-27,14956.9697
2021-07-28,15018.0996
2021-07-29,15048.3604
2021-07-30,14959.9004
2021-08-02,14963.6201
2021-08-03,15061.4199
2021-08-04,15083.3896
2021-08-05,15181.6396
2021-08-06,15109.3604
2021-08-09,15133.1104
2021-08-10,15053.5801
2021-08-11,15027.7598
2021-08-12,15088.9805
2021-08-13,15136.6797
2021-08-16,15140.7695
2021-08-17,15002.8301
2021-08-18,14857.9199
2021-08-19,14933.9404
2021-08-20,15092.5703
2021-08-23,15312.8203
2021-08-24,15357.6797
2021-08-25,15368.9199
2021-08-26,15278.5195
2021-08-27,15432.9502
2021-08-30,15605.0898
2021-08-31,15582.5098
2021-09-01,15611.5703
2021-09-02,15604.25
2021-09-03,15652.8604
2021-09-07,15675.7598
2021-09-08,15620.8496
2021-09-09,15561.0498
2021-09-10,15440.748
2021-09-13,15434.5
2021-09-14,15382.9004
2021-09-15,15503.5303
2021-09-16,15515.9102
2021-09-17,15333.4697
2021-09-20,15012.1904
2021-09-21,15027.7695
2021-09-22,15176.5098
2021-09-23,15316.5801
2021-09-24,15329.6797
2021-09-27,15204.8203
2021-09-28,14770.2998
