date,value
2025-03-25,5946.951
2025-03-26,5948.4986
2025-03-27,5957.6017
2025-03-28,5916.0314
2025-03-31,5857.7721
2025-04-01,5892.8502
2025-04-02,5899.0865
2025-04-03,5845.5045
2025-04-07,5287.0333
2025-04-08,5326.914
2025-04-09,5439.7716
2025-04-10,5544.0646
2025-04-11,5581.3184
2025-04-14,5627.1375
2025-04-15,5602.534
2025-04-16,5556.8642
2025-04-17,5557.0105
2025-04-18,5560.7207
2025-04-21,5642.3805
2025-04-22,5624.209
2025-04-23,5634.9487
2025-04-24,5605.8796
2025-04-25,5627.1804
2025-04-28,5598.2951
2025-04-29,5604.9057
2025-04-30,5631.8249
2025-05-06,5740.3338
2025-05-07,5750.2911
2025-05-08,5773.8056
2025-05-09,5721.7225
2025-05-12,5793.6743
2025-05-13,5781.6683
2025-05-14,5799.1191
2025-05-15,5715.2966
2025-05-16,5715.8491
2025-05-19,5720.7949
2025-05-20,5747.367
2025-05-21,5757.9225
2025-05-22,5703.2797
2025-05-23,5653.0436
2025-05-26,5669.4609
2025-05-27,5652.1454
2025-05-28,5637.2378
2025-05-29,5719.9101
2025-05-30,5671.0723
2025-06-03,5694.8385
2025-06-04,5739.0058
2025-06-05,5769.9675
2025-06-06,5762.0778
2025-06-09,5805.6543
2025-06-10,5757.9921
2025-06-11,5792.9464
2025-06-12,5799.9319
2025-06-13,5740.2397
2025-06-16,5767.8083
2025-06-17,5750.9122
2025-06-18,5745.8714
2025-06-19,5676.8317
2025-06-20,5639.513
2025-06-23,5674.1704
2025-06-24,5765.8373
2025-06-25,5862.5529
2025-06-26,5838.2454
2025-06-27,5863.7282
2025-06-30,5915.3876
2025-07-01,5934.67
2025-07-02,5892.9505
2025-07-03,5922.66
2025-07-04,5911.4352
2025-07-07,5900.4056
2025-07-08,5977.7437
2025-07-09,5953.4871
2025-07-10,5983.0505
2025-07-11,6027.0789
2025-07-14,6020.8585
2025-07-15,6018.7583
2025-07-16,6017.1947
2025-07-17,6082.4644
2025-07-18,6099.6104
2025-07-21,6161.3086
2025-07-22,6213.4072
2025-07-23,6196.7577
2025-07-24,6293.5984
2025-07-25,6299.5908
2025-07-28,6323.4198
2025-07-29,6356.1327
2025-07-30,6314.6873
2025-07-31,6226.3432
2025-08-01,6213.2014
2025-08-04,6261.7313
2025-08-05,6303.2359
2025-08-06,6357.3769
2025-08-07,6337.5425
2025-08-08,6323.4999
2025-08-11,6391.7595
2025-08-12,6418.1595
2025-08-13,6508.0978
2025-08-14,6429.8462
2025-08-15,6568.57
2025-08-18,6668.1726
2025-08-19,6655.3105
2025-08-20,6728.0692
2025-08-21,6704.1657
2025-08-22,6822.8469
2025-08-25,6951.8955
2025-08-26,6964.0653
2025-08-27,6862.5624
2025-08-28,7011.1602
2025-08-29,7043.9416
2025-09-01,7110.2882
2025-09-02,6961.6894
2025-09-03,6868.4615
2025-09-04,6698.4474
2025-09-05,6913.9532
2025-09-08,6992.1169
2025-09-09,6928.9651
2025-09-10,6932.1092
2025-09-11,7122.7051
2025-09-12,7147.7489
2025-09-15,7137.3627
2025-09-16,7190.9928
2025-09-17,7260.0353
2025-09-18,7199.8828
2025-09-19,7170.3488
2025-09-22,7225.1281
2025-09-23,7180.7137
2025-09-24,7323.7093
2025-09-25,7341.3238
2025-09-26,7240.9114
2025-09-29,7350.5599
2025-09-30,7412.3684
2025-10-09,7548.9226
2025-10-10,7398.2241
2025-10-13,7376.5636
2025-10-14,7194.8509
2025-10-15,7294.0014
2025-10-16,7231.5336
