date,value
2021-04-23,2928.337
2021-04-26,2901.2886
2021-04-27,2921.8747
2021-04-28,2998.1047
2021-04-29,3003.1006
2021-04-30,3055.7956
2021-05-06,2971.651
2021-05-07,2857.166
2021-05-10,2873.7131
2021-05-11,2867.3775
2021-05-12,2905.9104
2021-05-13,2888.3763
2021-05-14,2986.9999
2021-05-17,3079.983
2021-05-18,3053.3215
2021-05-19,3085.752
2021-05-20,3107.5284
2021-05-21,3075.7302
2021-05-24,3102.0035
2021-05-25,3197.026
2021-05-26,3164.0256
2021-05-27,3189.0274
2021-05-28,3208.038
2021-05-31,3300.7608
2021-06-01,3286.8561
2021-06-02,3225.1033
2021-06-03,3175.5211
2021-06-04,3219.9328
2021-06-07,3193.944
2021-06-08,3174.0854
2021-06-09,3170.0767
2021-06-10,3262.2099
2021-06-11,3283.1878
2021-06-15,3250.2065
2021-06-16,3100.0492
2021-06-17,3166.6035
2021-06-18,3231.0537
2021-06-21,3264.2373
2021-06-22,3277.0124
2021-06-23,3317.7045
2021-06-24,3274.2577
2021-06-25,3355.5288
2021-06-28,3430.6709
2021-06-29,3429.4261
2021-06-30,3512.4385
2021-07-01,3495.8568
2021-07-02,3373.6085
2021-07-05,3391.8139
2021-07-06,3324.5605
2021-07-07,3458.2429
2021-07-08,3488.0496
2021-07-09,3462.0353
2021-07-12,3587.5516
2021-07-13,3558.6395
2021-07-14,3534.811
2021-07-15,3590.0862
2021-07-16,3469.436
2021-07-19,3490.3642
2021-07-20,3507.0438
2021-07-21,3622.4248
2021-07-22,3603.0434
2021-07-23,3518.4292
2021-07-26,3407.8646
2021-07-27,3255.2666
2021-07-28,3318.3337
2021-07-29,3510.7218
2021-07-30,3486.851
2021-08-02,3528.8562
2021-08-03,3501.5518
2021-08-04,3603.2956
2021-08-05,3573.0838
2021-08-06,3533.3921
2021-08-09,3477.6946
2021-08-10,3481.596
2021-08-11,3454.1405
2021-08-12,3395.6127
2021-08-13,3350.9218
2021-08-16,3294.3615
2021-08-17,3218.5329
2021-08-18,3250.2265
2021-08-19,3276.4956
2021-08-20,3175.5235
2021-08-23,3283.2523
2021-08-24,3331.7086
2021-08-25,3349.6545
2021-08-26,3264.2891
2021-08-27,3255.1692
2021-08-30,3273.0174
2021-08-31,3211.4688
2021-09-01,3190.558
2021-09-02,3141.7181
2021-09-03,3103.3034
2021-09-06,3242.1747
2021-09-07,3273.5672
2021-09-08,3244.3029
2021-09-09,3249.5475
2021-09-10,3260.9911
2021-09-13,3228.1161
2021-09-14,3281.7842
2021-09-15,3237.0579
2021-09-16,3155.5304
2021-09-17,3231.1278
2021-09-22,3199.1795
2021-09-23,3212.9756
2021-09-24,3238.687
2021-09-27,3262.0393
2021-09-28,3240.4063
2021-09-29,3203.8789
2021-09-30,3282.8827
2021-10-08,3274.739
2021-10-11,3217.9369
2021-10-12,3152.8034
2021-10-13,3228.9411
2021-10-14,3233.6868
2021-10-15,3309.9324
2021-10-18,3317.7587
2021-10-19,3334.3741
2021-10-20,3318.9399
2021-10-21,3323.4776
2021-10-22,3328.8577
2021-10-25,3390.2199
2021-10-26,3382.3979
2021-10-27,3372.3582
2021-10-28,3346.2249
2021-10-29,3422.8634
2021-11-01,3397.4314
2021-11-02,3406.4734
2021-11-03,3380.2337
2021-11-04,3416.7186
2021-11-05,3409.0534
2021-11-08,3449.811
2021-11-09,3475.2688
2021-11-10,3466.3008
2021-11-11,3506.0353
2021-11-12,3489.9415
2021-11-15,3454.2324
2021-11-16,3447.903
2021-11-17,3477.8038
2021-11-18,3432.5674
2021-11-19,3469.6859
2021-11-22,3573.1084
2021-11-23,3559.1029
2021-11-24,3543.3064
2021-11-25,3538.4622
2021-11-26,3536.4558
2021-11-29,3572.9672
2021-11-30,3561.0583
2021-12-01,3528.8076
2021-12-02,3534.5991
2021-12-03,3543.2276
2021-12-06,3463.7649
2021-12-07,3419.0504
2021-12-08,3476.4564
2021-12-09,3513.5882
2021-12-10,3521.4442
2021-12-13,3554.9672
2021-12-14,3547.9127
2021-12-15,3512.8643
2021-12-16,3546.362
2021-12-17,3484.5016
2021-12-20,3369.3084
2021-12-21,3381.396
2021-12-22,3397.6358
2021-12-23,3403.7934
2021-12-24,3310.9926
2021-12-27,3313.2557
2021-12-28,3350.9826
2021-12-29,3295.6722
2021-12-30,3338.6841
2021-12-31,3334.8182
2022-01-04,3240.0739
2022-01-05,3143.3399
2022-01-06,3105.9576
2022-01-07,3077.8394
2022-01-10,3062.7825
2022-01-11,3030.1311
2022-01-12,3117.5476
2022-01-13,3071.6648
2022-01-14,3108.3028
2022-01-17,3156.935
2022-01-18,3130.1876
2022-01-19,3054.8349
2022-01-20,3052.2672
2022-01-21,3027.0427
2022-01-24,3055.9596
2022-01-25,2982.3622
2022-01-26,3015.3977
2022-01-27,2910.2098
2022-01-28,2911.647
2022-02-07,2919.0199
2022-02-08,2830.1773
2022-02-09,2865.2321
2022-02-10,2796.4376
2022-02-11,2709.8362
2022-02-14,2695.2742
2022-02-15,2786.3933
2022-02-16,2794.7729
2022-02-17,2822.0592
2022-02-18,2799.1401
2022-02-21,2764.5106
2022-02-22,2728.9104
2022-02-23,2817.401
2022-02-24,2759.1287
2022-02-25,2838.6848
2022-02-28,2862.9771
2022-03-01,2865.2642
2022-03-02,2805.1374
2022-03-03,2761.3018
2022-03-04,2706.3146
2022-03-07,2580.001
2022-03-08,2541.6088
2022-03-09,2530.5222
2022-03-10,2602.7268
2022-03-11,2628.2116
2022-03-14,2530.7832
2022-03-15,2476.2367
2022-03-16,2623.9006
2022-03-17,2705.4047
2022-03-18,2702.8358
2022-03-21,2713.2928
2022-03-22,2669.8979
2022-03-23,2698.4663
2022-03-24,2694.4113
2022-03-25,2619.2741
2022-03-28,2567.504
2022-03-29,2565.6141
2022-03-30,2682.8935
2022-03-31,2648.3783
2022-04-01,2655.5908
2022-04-06,2618.9118
2022-04-07,2567.6937
2022-04-08,2567.8519
2022-04-11,2450.3916
2022-04-12,2514.1054
2022-04-13,2462.7142
2022-04-14,2456.87
2022-04-15,2452.016
2022-04-18,2469.2331
2022-04-19,2428.7896
2022-04-20,2323.0837
2022-04-21,2279.6902
2022-04-22,2269.6189
2022-04-25,2137.8544
2022-04-26,2121.0143
2022-04-27,2246.2839
2022-04-28,2207.3742
2022-04-29,2309.1177
2022-05-05,2265.5134
2022-05-06,2216.3036
2022-05-09,2195.2347
2022-05-10,2250.2205
2022-05-11,2333.6277
2022-05-12,2337.6668
2022-05-13,2349.2346
2022-05-16,2319.1868
2022-05-17,2366.9594
2022-05-18,2359.5383
2022-05-19,2373.7184
2022-05-20,2415.4255
2022-05-23,2402.3124
2022-05-24,2314.9175
2022-05-25,2314.4066
2022-05-26,2301.3924
2022-05-27,2306.5698
2022-05-30,2332.3351
2022-05-31,2387.9333
2022-06-01,2417.7385
2022-06-02,2449.2432
2022-06-06,2556.6703
2022-06-07,2555.8398
2022-06-08,2577.0283
2022-06-09,2491.6874
2022-06-10,2556.2521
2022-06-13,2540.8129
2022-06-14,2543.353
2022-06-15,2578.4833
2022-06-16,2580.0046
2022-06-17,2661.8525
2022-06-20,2723.0471
2022-06-21,2705.4174
2022-06-22,2692.0452
2022-06-23,2783.9257
2022-06-24,2851.6556
2022-06-27,2846.3732
2022-06-28,2851.6873
2022-06-29,2779.8212
2022-06-30,2825.4786
2022-07-01,2797.9234
